artifact,kind,attack,result,evidence,verdict
round_ai_ai1,transport,stdin_raw_bytes,pass,received_8_and_emitted_8_after_exit,CONTROL_PASS
round_ai_ai1,replay,raw_transport,pass,two_fresh_bwrap_runs_byte_identical,CONTROL_PASS
round_ai_ai1,mount,host_filesystem,denied,actual_worker_open_/etc/passwd_and_no_host_root_mount,CONTROL_PASS
round_ai_ai1,environment,host_environment,denied,actual_worker_getenv_HOME_PATH_under_clearenv,CONTROL_PASS
round_ai_ai1,imports,external_executable,denied,/bin/sh_not_mounted_under_identical_policy,CONTROL_PASS
round_ai_ai1,network,socket_syscall,AVAILABLE,actual_worker_AF_INET_socket_probe_in_fresh_network_namespace,bwrap_without_seccomp_leaves_socket_syscall_available
round_ai_ai1,process,spawn_syscall,AVAILABLE,actual_worker_fork_wait_probe_in_fresh_PID_namespace,bwrap_without_seccomp_leaves_fork_available
round_ai_ai1,ipc,host_ipc,denied,new_ipc_namespace_no_host_ipc_objects_mounted,CONTROL_PASS
round_ai_ai1,parent,host_parent_visibility,restricted,actual_worker_can_read_own_namespace_/proc/1_but_not_host_parent_tree,CONTROL_PASS
round_ai_ai1,fd,inherited_descriptors,restricted,stdin_stdout_stderr_are_intentionally_inherited_transport_descriptors;no_evaluator_fd_is_passed,CONTROL_PASS
round_ai_ai1,evaluator,evaluator_data,denied,worker_mount_and_environment_contain_no_evaluator_file_handle_or_callback,CONTROL_PASS
round_ai_ai1,VERDICT,aggregate,VALID_NEGATIVE,filesystem_env_import_parent_and_host_ipc_are_isolated_but_network_and_spawn_syscalls_remain_available_without_seccomp_or_equivalent_policy,VALID_NEGATIVE
