protocol,arm,stage,opaque_token,public_trace,public_probe,public_reply,candidate,observed_score,session_call,detail
round_o_o2,learned_probe,base,O2-Q7,violet,none,none,none,-1,1,base_trace_only
round_o_o2,learned_probe,probe,O2-Q7,violet,probe_right,0,none,-1,2,evaluator_reply
round_o_o2,learned_probe,route,O2-Q7,violet,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,learned_probe,budget_reject,O2-Q7,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,fixed_probe,base,O2-Q7,violet,none,none,none,-1,1,base_trace_only
round_o_o2,fixed_probe,probe,O2-Q7,violet,probe_left,0,none,-1,2,evaluator_reply
round_o_o2,fixed_probe,route,O2-Q7,violet,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,fixed_probe,budget_reject,O2-Q7,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,blind_probe,base,O2-Q7,violet,none,none,none,-1,1,base_trace_only
round_o_o2,blind_probe,probe,O2-Q7,violet,probe_left,0,none,-1,2,evaluator_reply
round_o_o2,blind_probe,route,O2-Q7,violet,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,blind_probe,budget_reject,O2-Q7,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,family_prior,base,O2-Q7,violet,none,none,none,-1,1,base_trace_only
round_o_o2,family_prior,probe,O2-Q7,violet,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o2,family_prior,route,O2-Q7,violet,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,family_prior,budget_reject,O2-Q7,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,no_probe,base,O2-Q7,violet,none,none,none,-1,1,base_trace_only
round_o_o2,no_probe,probe,O2-Q7,violet,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o2,no_probe,route,O2-Q7,violet,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,no_probe,budget_reject,O2-Q7,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,learned_probe,base,O2-A4,amber,none,none,none,-1,1,base_trace_only
round_o_o2,learned_probe,probe,O2-A4,amber,probe_left,1,none,-1,2,evaluator_reply
round_o_o2,learned_probe,route,O2-A4,amber,none,none,candidate_b,1,3,candidate_scored;budget_enforced
round_o_o2,learned_probe,budget_reject,O2-A4,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,fixed_probe,base,O2-A4,amber,none,none,none,-1,1,base_trace_only
round_o_o2,fixed_probe,probe,O2-A4,amber,probe_left,1,none,-1,2,evaluator_reply
round_o_o2,fixed_probe,route,O2-A4,amber,none,none,candidate_b,1,3,candidate_scored;budget_enforced
round_o_o2,fixed_probe,budget_reject,O2-A4,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,blind_probe,base,O2-A4,amber,none,none,none,-1,1,base_trace_only
round_o_o2,blind_probe,probe,O2-A4,amber,probe_right,0,none,-1,2,evaluator_reply
round_o_o2,blind_probe,route,O2-A4,amber,none,none,candidate_a,0,3,candidate_scored;budget_enforced
round_o_o2,blind_probe,budget_reject,O2-A4,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,family_prior,base,O2-A4,amber,none,none,none,-1,1,base_trace_only
round_o_o2,family_prior,probe,O2-A4,amber,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o2,family_prior,route,O2-A4,amber,none,none,candidate_a,0,3,candidate_scored;budget_enforced
round_o_o2,family_prior,budget_reject,O2-A4,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,no_probe,base,O2-A4,amber,none,none,none,-1,1,base_trace_only
round_o_o2,no_probe,probe,O2-A4,amber,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o2,no_probe,route,O2-A4,amber,none,none,candidate_a,0,3,candidate_scored;budget_enforced
round_o_o2,no_probe,budget_reject,O2-A4,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,learned_probe,base,O2-L9,violet,none,none,none,-1,1,base_trace_only
round_o_o2,learned_probe,probe,O2-L9,violet,probe_right,1,none,-1,2,evaluator_reply
round_o_o2,learned_probe,route,O2-L9,violet,none,none,candidate_b,1,3,candidate_scored;budget_enforced
round_o_o2,learned_probe,budget_reject,O2-L9,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,fixed_probe,base,O2-L9,violet,none,none,none,-1,1,base_trace_only
round_o_o2,fixed_probe,probe,O2-L9,violet,probe_left,0,none,-1,2,evaluator_reply
round_o_o2,fixed_probe,route,O2-L9,violet,none,none,candidate_a,0,3,candidate_scored;budget_enforced
round_o_o2,fixed_probe,budget_reject,O2-L9,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,blind_probe,base,O2-L9,violet,none,none,none,-1,1,base_trace_only
round_o_o2,blind_probe,probe,O2-L9,violet,probe_left,0,none,-1,2,evaluator_reply
round_o_o2,blind_probe,route,O2-L9,violet,none,none,candidate_a,0,3,candidate_scored;budget_enforced
round_o_o2,blind_probe,budget_reject,O2-L9,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,family_prior,base,O2-L9,violet,none,none,none,-1,1,base_trace_only
round_o_o2,family_prior,probe,O2-L9,violet,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o2,family_prior,route,O2-L9,violet,none,none,candidate_a,0,3,candidate_scored;budget_enforced
round_o_o2,family_prior,budget_reject,O2-L9,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,no_probe,base,O2-L9,violet,none,none,none,-1,1,base_trace_only
round_o_o2,no_probe,probe,O2-L9,violet,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o2,no_probe,route,O2-L9,violet,none,none,candidate_a,0,3,candidate_scored;budget_enforced
round_o_o2,no_probe,budget_reject,O2-L9,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,learned_probe,base,O2-C2,amber,none,none,none,-1,1,base_trace_only
round_o_o2,learned_probe,probe,O2-C2,amber,probe_left,0,none,-1,2,evaluator_reply
round_o_o2,learned_probe,route,O2-C2,amber,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,learned_probe,budget_reject,O2-C2,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,fixed_probe,base,O2-C2,amber,none,none,none,-1,1,base_trace_only
round_o_o2,fixed_probe,probe,O2-C2,amber,probe_left,0,none,-1,2,evaluator_reply
round_o_o2,fixed_probe,route,O2-C2,amber,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,fixed_probe,budget_reject,O2-C2,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,blind_probe,base,O2-C2,amber,none,none,none,-1,1,base_trace_only
round_o_o2,blind_probe,probe,O2-C2,amber,probe_right,0,none,-1,2,evaluator_reply
round_o_o2,blind_probe,route,O2-C2,amber,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,blind_probe,budget_reject,O2-C2,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,family_prior,base,O2-C2,amber,none,none,none,-1,1,base_trace_only
round_o_o2,family_prior,probe,O2-C2,amber,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o2,family_prior,route,O2-C2,amber,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,family_prior,budget_reject,O2-C2,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,no_probe,base,O2-C2,amber,none,none,none,-1,1,base_trace_only
round_o_o2,no_probe,probe,O2-C2,amber,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o2,no_probe,route,O2-C2,amber,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,no_probe,budget_reject,O2-C2,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,learned_probe,base,O2-Z5,amber,none,none,none,-1,1,base_trace_only
round_o_o2,learned_probe,probe,O2-Z5,amber,probe_left,1,none,-1,2,evaluator_reply
round_o_o2,learned_probe,route,O2-Z5,amber,none,none,candidate_b,1,3,candidate_scored;budget_enforced
round_o_o2,learned_probe,budget_reject,O2-Z5,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,fixed_probe,base,O2-Z5,amber,none,none,none,-1,1,base_trace_only
round_o_o2,fixed_probe,probe,O2-Z5,amber,probe_left,1,none,-1,2,evaluator_reply
round_o_o2,fixed_probe,route,O2-Z5,amber,none,none,candidate_b,1,3,candidate_scored;budget_enforced
round_o_o2,fixed_probe,budget_reject,O2-Z5,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,blind_probe,base,O2-Z5,amber,none,none,none,-1,1,base_trace_only
round_o_o2,blind_probe,probe,O2-Z5,amber,probe_left,1,none,-1,2,evaluator_reply
round_o_o2,blind_probe,route,O2-Z5,amber,none,none,candidate_b,1,3,candidate_scored;budget_enforced
round_o_o2,blind_probe,budget_reject,O2-Z5,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,family_prior,base,O2-Z5,amber,none,none,none,-1,1,base_trace_only
round_o_o2,family_prior,probe,O2-Z5,amber,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o2,family_prior,route,O2-Z5,amber,none,none,candidate_a,0,3,candidate_scored;budget_enforced
round_o_o2,family_prior,budget_reject,O2-Z5,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,no_probe,base,O2-Z5,amber,none,none,none,-1,1,base_trace_only
round_o_o2,no_probe,probe,O2-Z5,amber,inert_slot,0,none,-1,2,equal_cost_inert
round_o_o2,no_probe,route,O2-Z5,amber,none,none,candidate_a,0,3,candidate_scored;budget_enforced
round_o_o2,no_probe,budget_reject,O2-Z5,amber,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,learned_probe,base,O2-H1,violet,none,none,none,-1,1,base_trace_only
round_o_o2,learned_probe,probe,O2-H1,violet,probe_right,0,none,-1,2,evaluator_reply
round_o_o2,learned_probe,route,O2-H1,violet,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,learned_probe,budget_reject,O2-H1,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,fixed_probe,base,O2-H1,violet,none,none,none,-1,1,base_trace_only
round_o_o2,fixed_probe,probe,O2-H1,violet,probe_left,0,none,-1,2,evaluator_reply
round_o_o2,fixed_probe,route,O2-H1,violet,none,none,candidate_a,1,3,candidate_scored;budget_enforced
round_o_o2,fixed_probe,budget_reject,O2-H1,violet,none,none,none,-1,4,rejected_persistent_session_budget
round_o_o2,blind_probe,base,O2-H1,violet,none,none,none,-1,1,base_trace_only
