artifact,fixture,decision,verdict
round_an_an3,precommitted_intervention_changes_delayed_raw_signal,admit,ADMIT:precommitted_causal_claim_replicated_without_answer_key_or_human_invention_match
round_an_an3,answer_key_match,reject,REJECT:answer_key_or_human_target_channel
round_an_an3,memorized_training_trace,reject,REJECT:training_data_or_answer_trace
round_an_an3,posthoc_rewritten_claim,reject,REJECT:posthoc_claim_rewrite
round_an_an3,correlation_without_intervention,reject,REJECT:correlation_only_no_intervention
round_an_an3,failed_heldout_replication,reject,REJECT:failed_heldout_recoding_replication
round_an_an3,semantic_decoder_channel,reject,REJECT:label_or_semantic_decoder_channel
round_an_an3,evaluator_feedback_loop,reject,REJECT:evaluator_feedback_during_discovery
round_an_an3,no_attacker_alternative,reject,REJECT:attacker_alternative_not_tested
round_an_an3,no_simplicity_alternative,reject,REJECT:simplicity_alternative_not_tested
round_an_an3,audit,admit,SOURCE_RULE:no_answer_key_target_candidate_ranking_or_human_preferred_invention_comparison
round_an_an3,audit,admit,SOURCE_RULE:require_precommitted_claim_raw_prediction_intervention_provenance_and_heldout_replication
round_an_an3,audit,admit,SOURCE_RULE:require_attacker_and_simplicity_alternatives
round_an_an3,audit,admit,SOURCE_RULE:reject_labels_semantic_decoders_training_traces_posthoc_rewrites_feedback_and_world_overlap
round_an_an3,audit,admit,COVERAGE:one_causal_admission_nine_required_rejections
round_an_an3,audit,admit,GATE_READY:evaluation_protocol_only_not_proof_of_autonomous_invention_or_novelty
