artifact,fixture,decision,response_only_intervention_transition_provenance,verdict
round_am_am3,qualified_single_transition_provenance,conditional_accept,present,CONDITIONAL_ACCEPT:response_only_append_only_intervention_transition_provenance; benefit and ownership unproven
round_am_am3,qualified_append_only_transition_provenance,conditional_accept,present,CONDITIONAL_ACCEPT:response_only_append_only_intervention_transition_provenance; benefit and ownership unproven
round_am_am3,direct_similarity_matcher,reject,present,REJECT:direct_static_matcher
round_am_am3,alias_compare_helper,reject,present,REJECT:aliased_matcher
round_am_am3,encoded_xor_match_key,reject,present,REJECT:encoded_matcher_or_key
round_am_am3,address_identity_route,reject,present,REJECT:address_or_identifier
round_am_am3,opaque_regime_id,reject,present,REJECT:address_or_identifier
round_am_am3,supplied_regime_label,reject,present,REJECT:supplied_label
round_am_am3,target_cache,reject,present,REJECT:target_answer_or_trace_leak
round_am_am3,answer_history_trace,reject,present,REJECT:target_answer_or_trace_leak
round_am_am3,fresh_score_port,reject,present,REJECT:score_or_uncertainty_leak
round_am_am3,uncertainty_router,reject,present,REJECT:score_or_uncertainty_leak
round_am_am3,fixed_embedding_vector,reject,present,REJECT:fixed_static_matcher_or_vector
round_am_am3,fixed_fingerprint_table,reject,present,REJECT:fixed_static_matcher_or_vector
round_am_am3,supplied_temporal_motif,reject,present,REJECT:supplied_temporal_motif
round_am_am3,fixed_tick_schedule,reject,present,REJECT:supplied_fixed_schedule
round_am_am3,supplied_router_callback,reject,present,REJECT:supplied_router
round_am_am3,provided_causal_graph,reject,present,REJECT:supplied_graph_or_topology
round_am_am3,provided_neighborhood_topology,reject,present,REJECT:supplied_graph_or_topology
round_am_am3,representation_decode_table,reject,present,REJECT:representation_or_recoding_leak
round_am_am3,recode_sensitive_transition,reject,present,REJECT:representation_or_recoding_leak
round_am_am3,shared_private_world_trace,reject,present,REJECT:private_or_earned_world_overlap
round_am_am3,no_transition_provenance,reject,absent,REJECT:no_response_only_intervention_transition_provenance
round_am_am3,audit,conditional_accept,na,SOURCE_RULE:deny_by_default_first_rejection_wins
round_am_am3,audit,conditional_accept,na,SOURCE_RULE:permit_only_response_only_append_only_observed_intervention_transition_provenance
round_am_am3,audit,conditional_accept,na,SOURCE_RULE:reject_direct_alias_encoded_matchers_address_ids_labels_target_answer_trace_score_uncertainty_static_vectors
round_am_am3,audit,conditional_accept,na,SOURCE_RULE:reject_supplied_temporal_motif_schedule_router_graph_topology_representation_recoding_and_world_overlap
round_am_am3,audit,conditional_accept,na,COVERAGE:21_hostile_negative_fixtures_plus_two_positive_provenance_only_fixtures
round_am_am3,audit,conditional_accept,na,RESIDUAL:source_manifest_audit_cannot_prove_unexposed_binary_runtime_or_environment_behavior
round_am_am3,audit,conditional_accept,na,GATE_READY:infrastructure_only_not_an_intelligence_foundation_or_ownership_positive
