protocol,stage,opaque_token,split,trace_a,trace_b,trace_r,trace_n,arm,candidate,returned_score,charged_call,detail
round_n_n4,frozen_history,history-0,prior,-,-,-,-,memory,atom_gt,33,0,raw_public_old_outcome
round_n_n4,frozen_history,history-1,prior,-,-,-,-,memory,atom_bit,31,0,raw_public_old_outcome
round_n_n4,frozen_history,history-2,prior,-,-,-,-,memory,compose_gt_pair,64,0,raw_public_old_outcome
round_n_n4,frozen_history,history-3,prior,-,-,-,-,memory,compose_bit_pair,64,0,raw_public_old_outcome
round_n_n4,frozen_history,history-4,prior,-,-,-,-,memory,atom_gt,32,0,raw_public_old_outcome
round_n_n4,frozen_history,history-5,prior,-,-,-,-,memory,atom_bit,30,0,raw_public_old_outcome
round_n_n4,frozen_history,history-6,prior,-,-,-,-,memory,compose_gt_pair,64,0,raw_public_old_outcome
round_n_n4,frozen_history,history-7,prior,-,-,-,-,memory,compose_bit_pair,64,0,raw_public_old_outcome
round_n_n4,query,N4-Q00,train,8,8,4,3,derived_grammar,compose_gt_pair,16,1,permitted_train_query
round_n_n4,query,N4-Q00,train,8,8,4,3,derived_grammar,compose_bit_pair,11,2,permitted_train_query
round_n_n4,fresh_test,N4-Q00,train,8,8,4,3,derived_grammar,compose_gt_pair,64,3,evaluator_owned_fresh_split
round_n_n4,query,N4-Q00,train,8,8,4,3,frozen_menu,atom_gt,0,4,permitted_train_query
round_n_n4,query,N4-Q00,train,8,8,4,3,frozen_menu,atom_bit,4,5,permitted_train_query
round_n_n4,fresh_test,N4-Q00,train,8,8,4,3,frozen_menu,atom_bit,25,6,evaluator_owned_fresh_split
round_n_n4,query,N4-Q00,train,8,8,4,3,blind_composition,compose_gt_pair,16,7,permitted_train_query
round_n_n4,query,N4-Q00,train,8,8,4,3,blind_composition,compose_bit_pair,11,8,permitted_train_query
round_n_n4,fresh_test,N4-Q00,train,8,8,4,3,blind_composition,compose_gt_pair,64,9,evaluator_owned_fresh_split
round_n_n4,query,N4-Q01,train,9,7,5,2,derived_grammar,compose_gt_pair,10,1,permitted_train_query
round_n_n4,query,N4-Q01,train,9,7,5,2,derived_grammar,compose_bit_pair,16,2,permitted_train_query
round_n_n4,fresh_test,N4-Q01,train,9,7,5,2,derived_grammar,compose_bit_pair,64,3,evaluator_owned_fresh_split
round_n_n4,query,N4-Q01,train,9,7,5,2,frozen_menu,atom_gt,6,4,permitted_train_query
round_n_n4,query,N4-Q01,train,9,7,5,2,frozen_menu,atom_bit,8,5,permitted_train_query
round_n_n4,fresh_test,N4-Q01,train,9,7,5,2,frozen_menu,atom_bit,37,6,evaluator_owned_fresh_split
round_n_n4,query,N4-Q01,train,9,7,5,2,blind_composition,compose_gt_pair,10,7,permitted_train_query
round_n_n4,query,N4-Q01,train,9,7,5,2,blind_composition,compose_bit_pair,16,8,permitted_train_query
round_n_n4,fresh_test,N4-Q01,train,9,7,5,2,blind_composition,compose_bit_pair,64,9,evaluator_owned_fresh_split
round_n_n4,query,N4-Q02,train,10,6,6,3,derived_grammar,compose_gt_pair,7,1,permitted_train_query
round_n_n4,query,N4-Q02,train,10,6,6,3,derived_grammar,compose_bit_pair,16,2,permitted_train_query
round_n_n4,fresh_test,N4-Q02,train,10,6,6,3,derived_grammar,compose_bit_pair,64,3,evaluator_owned_fresh_split
round_n_n4,query,N4-Q02,train,10,6,6,3,frozen_menu,atom_gt,9,4,permitted_train_query
round_n_n4,query,N4-Q02,train,10,6,6,3,frozen_menu,atom_bit,9,5,permitted_train_query
round_n_n4,fresh_test,N4-Q02,train,10,6,6,3,frozen_menu,atom_gt,27,6,evaluator_owned_fresh_split
round_n_n4,query,N4-Q02,train,10,6,6,3,blind_composition,compose_gt_pair,7,7,permitted_train_query
round_n_n4,query,N4-Q02,train,10,6,6,3,blind_composition,compose_bit_pair,16,8,permitted_train_query
round_n_n4,fresh_test,N4-Q02,train,10,6,6,3,blind_composition,compose_gt_pair,35,9,evaluator_owned_fresh_split
round_n_n4,query,N4-Q03,train,11,5,7,2,derived_grammar,compose_gt_pair,16,1,permitted_train_query
round_n_n4,query,N4-Q03,train,11,5,7,2,derived_grammar,compose_bit_pair,11,2,permitted_train_query
round_n_n4,fresh_test,N4-Q03,train,11,5,7,2,derived_grammar,compose_gt_pair,64,3,evaluator_owned_fresh_split
round_n_n4,query,N4-Q03,train,11,5,7,2,frozen_menu,atom_gt,0,4,permitted_train_query
round_n_n4,query,N4-Q03,train,11,5,7,2,frozen_menu,atom_bit,9,5,permitted_train_query
round_n_n4,fresh_test,N4-Q03,train,11,5,7,2,frozen_menu,atom_bit,38,6,evaluator_owned_fresh_split
round_n_n4,query,N4-Q03,train,11,5,7,2,blind_composition,compose_gt_pair,16,7,permitted_train_query
round_n_n4,query,N4-Q03,train,11,5,7,2,blind_composition,compose_bit_pair,11,8,permitted_train_query
round_n_n4,fresh_test,N4-Q03,train,11,5,7,2,blind_composition,compose_bit_pair,37,9,evaluator_owned_fresh_split
round_n_n4,query,N4-Q04,train,8,8,4,3,derived_grammar,compose_gt_pair,16,1,permitted_train_query
round_n_n4,query,N4-Q04,train,8,8,4,3,derived_grammar,compose_bit_pair,10,2,permitted_train_query
round_n_n4,fresh_test,N4-Q04,train,8,8,4,3,derived_grammar,compose_gt_pair,64,3,evaluator_owned_fresh_split
round_n_n4,query,N4-Q04,train,8,8,4,3,frozen_menu,atom_gt,0,4,permitted_train_query
round_n_n4,query,N4-Q04,train,8,8,4,3,frozen_menu,atom_bit,6,5,permitted_train_query
round_n_n4,fresh_test,N4-Q04,train,8,8,4,3,frozen_menu,atom_bit,22,6,evaluator_owned_fresh_split
round_n_n4,query,N4-Q04,train,8,8,4,3,blind_composition,compose_gt_pair,16,7,permitted_train_query
round_n_n4,query,N4-Q04,train,8,8,4,3,blind_composition,compose_bit_pair,10,8,permitted_train_query
round_n_n4,fresh_test,N4-Q04,train,8,8,4,3,blind_composition,compose_gt_pair,64,9,evaluator_owned_fresh_split
round_n_n4,query,N4-Q05,train,9,7,5,2,derived_grammar,compose_gt_pair,6,1,permitted_train_query
round_n_n4,query,N4-Q05,train,9,7,5,2,derived_grammar,compose_bit_pair,16,2,permitted_train_query
round_n_n4,fresh_test,N4-Q05,train,9,7,5,2,derived_grammar,compose_bit_pair,64,3,evaluator_owned_fresh_split
round_n_n4,query,N4-Q05,train,9,7,5,2,frozen_menu,atom_gt,8,4,permitted_train_query
round_n_n4,query,N4-Q05,train,9,7,5,2,frozen_menu,atom_bit,9,5,permitted_train_query
round_n_n4,fresh_test,N4-Q05,train,9,7,5,2,frozen_menu,atom_bit,34,6,evaluator_owned_fresh_split
round_n_n4,query,N4-Q05,train,9,7,5,2,blind_composition,compose_gt_pair,6,7,permitted_train_query
round_n_n4,query,N4-Q05,train,9,7,5,2,blind_composition,compose_bit_pair,16,8,permitted_train_query
round_n_n4,fresh_test,N4-Q05,train,9,7,5,2,blind_composition,compose_bit_pair,64,9,evaluator_owned_fresh_split
round_n_n4,query,N4-Q06,train,10,6,6,3,derived_grammar,compose_gt_pair,8,1,permitted_train_query
round_n_n4,query,N4-Q06,train,10,6,6,3,derived_grammar,compose_bit_pair,16,2,permitted_train_query
round_n_n4,fresh_test,N4-Q06,train,10,6,6,3,derived_grammar,compose_bit_pair,64,3,evaluator_owned_fresh_split
round_n_n4,query,N4-Q06,train,10,6,6,3,frozen_menu,atom_gt,8,4,permitted_train_query
round_n_n4,query,N4-Q06,train,10,6,6,3,frozen_menu,atom_bit,6,5,permitted_train_query
round_n_n4,fresh_test,N4-Q06,train,10,6,6,3,frozen_menu,atom_gt,33,6,evaluator_owned_fresh_split
round_n_n4,query,N4-Q06,train,10,6,6,3,blind_composition,compose_gt_pair,8,7,permitted_train_query
round_n_n4,query,N4-Q06,train,10,6,6,3,blind_composition,compose_bit_pair,16,8,permitted_train_query
round_n_n4,fresh_test,N4-Q06,train,10,6,6,3,blind_composition,compose_gt_pair,32,9,evaluator_owned_fresh_split
round_n_n4,query,N4-Q07,train,11,5,7,2,derived_grammar,compose_gt_pair,16,1,permitted_train_query
round_n_n4,query,N4-Q07,train,11,5,7,2,derived_grammar,compose_bit_pair,12,2,permitted_train_query
round_n_n4,fresh_test,N4-Q07,train,11,5,7,2,derived_grammar,compose_gt_pair,64,3,evaluator_owned_fresh_split
round_n_n4,query,N4-Q07,train,11,5,7,2,frozen_menu,atom_gt,1,4,permitted_train_query
round_n_n4,query,N4-Q07,train,11,5,7,2,frozen_menu,atom_bit,7,5,permitted_train_query
round_n_n4,fresh_test,N4-Q07,train,11,5,7,2,frozen_menu,atom_bit,36,6,evaluator_owned_fresh_split
round_n_n4,query,N4-Q07,train,11,5,7,2,blind_composition,compose_gt_pair,16,7,permitted_train_query
round_n_n4,query,N4-Q07,train,11,5,7,2,blind_composition,compose_bit_pair,12,8,permitted_train_query
round_n_n4,fresh_test,N4-Q07,train,11,5,7,2,blind_composition,compose_bit_pair,31,9,evaluator_owned_fresh_split
round_n_n4,fresh_test,N4-Q08,heldout,8,8,4,3,derived_grammar,compose_gt_pair,29,1,evaluator_owned_fresh_split
round_n_n4,fresh_test,N4-Q08,heldout,8,8,4,3,frozen_menu,atom_gt,32,2,evaluator_owned_fresh_split
round_n_n4,fresh_test,N4-Q08,heldout,8,8,4,3,blind_composition,compose_gt_pair,29,3,evaluator_owned_fresh_split
round_n_n4,fresh_test,N4-Q09,heldout,9,7,5,2,derived_grammar,compose_gt_pair,64,1,evaluator_owned_fresh_split
round_n_n4,fresh_test,N4-Q09,heldout,9,7,5,2,frozen_menu,atom_gt,6,2,evaluator_owned_fresh_split
round_n_n4,fresh_test,N4-Q09,heldout,9,7,5,2,blind_composition,compose_bit_pair,25,3,evaluator_owned_fresh_split
round_n_n4,fresh_test,N4-Q10,heldout,10,6,6,3,derived_grammar,compose_gt_pair,64,1,evaluator_owned_fresh_split
round_n_n4,fresh_test,N4-Q10,heldout,10,6,6,3,frozen_menu,atom_gt,7,2,evaluator_owned_fresh_split
round_n_n4,fresh_test,N4-Q10,heldout,10,6,6,3,blind_composition,compose_gt_pair,64,3,evaluator_owned_fresh_split
round_n_n4,fresh_test,N4-Q11,heldout,11,5,7,2,derived_grammar,compose_gt_pair,24,1,evaluator_owned_fresh_split
round_n_n4,fresh_test,N4-Q11,heldout,11,5,7,2,frozen_menu,atom_gt,39,2,evaluator_owned_fresh_split
round_n_n4,fresh_test,N4-Q11,heldout,11,5,7,2,blind_composition,compose_bit_pair,64,3,evaluator_owned_fresh_split
round_n_n4,fresh_test,N4-Q12,heldout,8,8,4,3,derived_grammar,compose_gt_pair,33,1,evaluator_owned_fresh_split
round_n_n4,fresh_test,N4-Q12,heldout,8,8,4,3,frozen_menu,atom_gt,31,2,evaluator_owned_fresh_split
round_n_n4,fresh_test,N4-Q12,heldout,8,8,4,3,blind_composition,compose_gt_pair,33,3,evaluator_owned_fresh_split
round_n_n4,fresh_test,N4-Q13,heldout,9,7,5,2,derived_grammar,compose_gt_pair,64,1,evaluator_owned_fresh_split
round_n_n4,fresh_test,N4-Q13,heldout,9,7,5,2,frozen_menu,atom_gt,3,2,evaluator_owned_fresh_split
round_n_n4,fresh_test,N4-Q13,heldout,9,7,5,2,blind_composition,compose_bit_pair,31,3,evaluator_owned_fresh_split
round_n_n4,fresh_test,N4-Q14,heldout,10,6,6,3,derived_grammar,compose_gt_pair,64,1,evaluator_owned_fresh_split
round_n_n4,fresh_test,N4-Q14,heldout,10,6,6,3,frozen_menu,atom_gt,0,2,evaluator_owned_fresh_split
round_n_n4,fresh_test,N4-Q14,heldout,10,6,6,3,blind_composition,compose_gt_pair,64,3,evaluator_owned_fresh_split
round_n_n4,fresh_test,N4-Q15,heldout,11,5,7,2,derived_grammar,compose_gt_pair,38,1,evaluator_owned_fresh_split
round_n_n4,fresh_test,N4-Q15,heldout,11,5,7,2,frozen_menu,atom_gt,28,2,evaluator_owned_fresh_split
round_n_n4,fresh_test,N4-Q15,heldout,11,5,7,2,blind_composition,compose_bit_pair,64,3,evaluator_owned_fresh_split
round_n_n4,VERDICT,all,heldout,-,-,-,-,summary,derived_grammar,0,0,VALID_NEGATIVE:grammar=4/8;fixed=0/8;blind=4/8;kind_a=4/4;kind_b=0/4;trace_router=4/8
