audit,attack,verdict,evidence
round_q_q6,fresh_cache_q1_q5_rebuild,CONFIRMED,five_harness_selftests_passed
round_q_q6,q1_registry_passport_hash_origin,CONFIRMED,typed_hash_passports_and_forbidden_origin_rejection
round_q_q6,q2_residual_descriptor_answer_join,CONFIRMED,answer_free_public_descriptor_only
round_q_q6,q3_alias_forged_provenance_correlation_free_text,CONFIRMED,aliases_private_origins_joins_posttest_and_unbounded_text_rejected
round_q_q6,q4_forged_material_component_fixed_blind_alias,CONFIRMED,canonical_forge_lineage_and_nonredundancy_pass
round_q_q6,q5_public_ledger_privacy,CONFIRMED,no_target_formula_family_winner_score_token_or_manifest
round_q_q6,q5_budget_commitment_and_restart,CONFIRMED,six_actions_then_rejected_seventh_per_arm_session
round_q_q6,q5_order_duplicate_and_replay,CONFIRMED,byte_identical_replay_and_canonical_lineage
round_q_q6,q5_aggregate_closure,CONFIRMED,full_24_24_fixed_0_24_blind_8_24_prior_0_24
round_q_q6,external_world_discovery_claim,NARROWED,approved_fixture_universe_not_literal_external_exploration
round_q_q6,isolation_claim,NARROWED,protocol_sealed_not_os_isolated_evaluator
round_q_q6,missing_evidence,IDENTIFIED,no_os_boundary_or_open_world_adapter_evidence
round_q_q6,FINAL,CONTROLLED_STRICT_POSITIVE_CONFIRMED,fixture_and_protocol_scope_explicitly_narrowed
