artifact,policy,charged_raw_contacts,hidden_changed_world_material,forged_compositions,provenance_selected,verdict
round_aq_aq2,earned_forge,2016,4080,96,96,FOUNDATION_POSITIVE:earned_composition_after_failed_raw_distinctions_strictly_beats_all_equal_cost_controls_on_privately_recoded_changed_world
round_aq_aq2,fixed_raw_probe,2016,0,0,0,CONTROL:fixed_raw_primitive_only
round_aq_aq2,fixed_human_composition,2016,1360,0,0,CONTROL:fixed_human_like_pair_0_1
round_aq_aq2,random_composition,2016,880,0,0,CONTROL:deterministic_random_pair
round_aq_aq2,replay,2016,320,0,0,CONTROL:previous_cohort_forged_experience
round_aq_aq2,shuffled_experience,2016,400,0,0,CONTROL:provenance_shuffled_forged_experience
round_aq_aq2,answer_scrubbed,2016,640,0,0,CONTROL:answer_memory_scrubbed_no_pair_trace
round_aq_aq2,forge_ablation,2016,640,0,0,CONTROL:failed_distinction_record_without_composition_forge
round_aq_aq2,fixed_broad_composition,2016,840,0,0,CONTROL:strong_fixed_four_pair_coverage_same_final_budget
round_aq_aq2,audit,0,0,0,0,CHECK:single_raw_probes_are_uniform_and_do_not_distinguish_hidden_roles
round_aq_aq2,audit,0,0,0,0,CHECK:composition_loop_is_authorized_by_observed_failed_raw_distinctions
round_aq_aq2,audit,0,0,0,0,CHECK:records_contain_only_raw_pair_raw_signature_evidence_and_provenance
round_aq_aq2,audit,0,0,0,0,CHECK:policy_has_no_target_answer_trace_label_semantic_decoder_score_progress_feedback_or_fixed_instrument_menu
round_aq_aq2,audit,0,0,0,0,CHECK:private_action_recoding_and_changed_outcome_law_are_per_cohort_and_evaluator_owned
round_aq_aq2,audit,0,0,0,0,LIMIT:finite_four_primitive_synthetic_alphabet_and_pair_enumeration_are_not_open_ended_tool_or_material_invention
round_aq_aq2,audit,0,0,0,0,LIMIT:single_file_fixture_is_not_process_isolation_or_general_intelligence_evidence
