artifact,policy,charged_raw_contacts,hidden_unseen_material,causal_commits,reuse_authorizations,verdict
round_am_am4,earned_chain,1920,3600,120,120,FOUNDATION_POSITIVE:earned_topology_plus_value_plus_arbitration_strictly_beats_all_equal_cost_controls_after_private_recoding_and_causal_law_shift
round_am_am4,aj4_fixed_allocator,1920,1380,0,0,CONTROL:prior_AJ4_fixed_allocator
round_am_am4,random,1920,1290,0,0,CONTROL:deterministic_generic_random_allocator
round_am_am4,replay,1920,1410,0,120,CONTROL:previous_cohort_history
round_am_am4,shuffled_history,1920,840,0,120,CONTROL:provenance_shuffled_history
round_am_am4,blank_no_relevance,1920,1320,0,0,CONTROL:blank_no_relevance
round_am_am4,answer_memory_scrubbed,1920,1320,0,0,CONTROL:answer_memory_scrubbed_no_trace
round_am_am4,topology_ablation,1920,1320,0,0,CONTROL:topology_relevance_removed
round_am_am4,value_ablation,1920,990,0,0,CONTROL:earned_topology_retained_value_authorization_removed
round_am_am4,arbitration_ablation,1920,1230,0,0,CONTROL:earned_topology_retained_reuse_explore_arbitration_removed
round_am_am4,broad_coverage,1920,1660,0,0,CONTROL:strong_fixed_generic_broad_coverage_same_final_contact_budget
round_am_am4,audit,0,0,0,0,MANIFEST_CONDITIONAL_ACCEPT:response_only_append_only_intervention_transition_provenance_only
round_am_am4,audit,0,0,0,0,CHECK:all_candidate_records_have_generic_action_dependency_count_evidence_and_digest_only
round_am_am4,audit,0,0,0,0,CHECK:answers_targets_labels_ids_task_menu_scores_uncertainty_evaluator_feedback_and_retained_answer_memory_absent_from_policy_record
round_am_am4,audit,0,0,0,0,CHECK:experience_and_hidden_evaluation_use_private_recoding_causal_law_shift_and_disjoint_world_nonce
round_am_am4,audit,0,0,0,0,CHECK:no_fixed_graph_motif_schedule_router_static_vector_or_semantic_decoder_in_candidate_path
round_am_am4,audit,0,0,0,0,LIMIT:AM3_style_manifest_gate_is_source_surface_only_not_behavioral_or_hostile_containment_proof
round_am_am4,audit,0,0,0,0,LIMIT:bounded_synthetic_foundation_evidence_not_open_ended_autonomy_or_security
