artifact,fixture,decision,response_provenance,verdict
round_al_al3,qualified_response_only,conditional_accept,present,CONDITIONAL_ACCEPT:response_provenance_only; runtime benefit still needs independent controls
round_al_al3,direct_equality,reject,present,REJECT:direct_equality_or_similarity_matcher
round_al_al3,alias_compare_fn,reject,present,REJECT:aliased_matcher_algebra
round_al_al3,xor_encoded_key,reject,present,REJECT:encoded_similarity_or_key
round_al_al3,address_router,reject,present,REJECT:address_identity_comparison
round_al_al3,private_regime_id,reject,present,REJECT:regime_identifier
round_al_al3,label_port,reject,present,REJECT:supplied_label_or_router
round_al_al3,change_point_score,reject,present,REJECT:supplied_change_point_or_routing_scalar
round_al_al3,uncertainty_port,reject,present,REJECT:supplied_uncertainty_scalar
round_al_al3,answer_cache,reject,present,REJECT:target_or_answer_memory
round_al_al3,history_answer_alias,reject,present,REJECT:history_answer_leak
round_al_al3,shared_world_trace,reject,present,REJECT:earned_and_private_world_overlap
round_al_al3,fixed_fingerprint,reject,present,REJECT:fixed_fingerprint_template
round_al_al3,fixed_segmentation,reject,present,REJECT:fixed_segment_or_boundary
round_al_al3,value_recode_failure,reject,present,REJECT:fails_private_representation_recoding
round_al_al3,causal_law_shift_failure,reject,present,REJECT:fails_private_causal_law_shift
round_al_al3,no_provenance,reject,absent,REJECT:no_intervention_response_provenance
round_al_al3,audit,conditional_accept,na,COVERAGE:16_hostile_fixtures_plus_one_qualified_minimal_manifest
round_al_al3,audit,conditional_accept,na,DENY:direct_alias_encoded_matchers_addresses_ids_labels_routing_uncertainty_answers_history_overlap_fixed_shapes_segments
round_al_al3,audit,conditional_accept,na,ROBUSTNESS:representation_recoding_and_private_causal_law_shift_required
round_al_al3,audit,conditional_accept,na,PERMITTED:generic_byte_transport_append_only_provenance_observed_intervention_response_only
round_al_al3,audit,conditional_accept,na,RESIDUAL:source_manifest_audit_cannot_prove_a_separate_binary_has_no_hidden_behavior
round_al_al3,audit,conditional_accept,na,GATE_READY:not_a_foundation_positive_not_an_intelligence_claim_not_hostile_containment
